,disasterNumber,state,declarationType,incidentType,declarationTitle,incidentBeginDate,incidentEndDate,disasterCloseoutDate,designatedArea
87,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Rice (County)
88,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Stanton (County)
89,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Pawnee (County)
90,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Stafford (County)
91,201,KS,DR,Flood,FLOODING,1965-06-23T04:00:00.000Z,1965-06-23T04:00:00.000Z,1968-03-04T05:00:00.000Z,Reno (County)
92,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Delaware (County)
93,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Dutchess (County)
94,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Nassau (County)
95,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Sullivan (County)
96,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Suffolk (County)
97,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Kings (County)
98,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Orange (County)
99,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,New York (County)
100,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Westchester (County)
101,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Queens (County)
102,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Putnam (County)
103,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Richmond (County)
104,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Rockland (County)
105,204,NY,DR,Drought,WATER SHORTAGE,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,1965-08-18T04:00:00.000Z,Ulster (County)
106,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Ascension (Parish)
107,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Ward 9 (Police Jury Ward)
108,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Assumption (Parish)
109,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Avoyelles (Parish)
110,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Caldwell (Parish)
111,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Acadia (Parish)
112,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Iberia (Parish)
113,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Iberville (Parish)
114,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,East Feliciana (Parish)
115,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Catahoula (Parish)
116,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,East Baton Rouge (Parish)
117,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Franklin (Parish)
118,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Livingston (Parish)
119,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Lafourche (Parish)
120,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Lafayette (Parish)
121,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Richland (Parish)
122,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Jefferson (Parish)
123,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Rapides (Parish)
124,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Ouachita (Parish)
125,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Pointe Coupee (Parish)
126,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Plaquemines (Parish)
127,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. Charles (Parish)
128,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. Helena (Parish)
129,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. James (Parish)
130,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. John the Baptist (Parish)
131,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. Landry (Parish)
132,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. Martin (Parish)
133,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. Mary (Parish)
134,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. Bernard (Parish)
135,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,St. Tammany (Parish)
136,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Tangipahoa (Parish)
137,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,West Feliciana (Parish)
138,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Washington (Parish)
139,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,West Baton Rouge (Parish)
140,208,LA,DR,Hurricane,HURRICANE BETSY,1965-09-10T04:00:00.000Z,1965-09-10T04:00:00.000Z,1974-03-27T04:00:00.000Z,Terrebonne (Parish)
141,211,CA,DR,Flood,HEAVY RAINS & FLOODING,1965-12-07T05:00:00.000Z,1965-12-07T05:00:00.000Z,1970-03-03T05:00:00.000Z,Riverside (County)
142,212,CA,DR,Flood,SEVERE STORMS & FLOODING,1966-01-22T05:00:00.000Z,1966-01-22T05:00:00.000Z,1968-08-12T04:00:00.000Z,Humboldt (County)
143,211,CA,DR,Flood,HEAVY RAINS & FLOODING,1965-12-07T05:00:00.000Z,1965-12-07T05:00:00.000Z,1970-03-03T05:00:00.000Z,San Bernardino (County)
144,211,CA,DR,Flood,HEAVY RAINS & FLOODING,1965-12-07T05:00:00.000Z,1965-12-07T05:00:00.000Z,1970-03-03T05:00:00.000Z,San Diego (County)
145,211,CA,DR,Flood,HEAVY RAINS & FLOODING,1965-12-07T05:00:00.000Z,1965-12-07T05:00:00.000Z,1970-03-03T05:00:00.000Z,Ventura (County)
146,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Camp (County)
147,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Collin (County)
148,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Delta (County)
149,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Bowie (County)
150,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Dallas (County)
151,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Anderson (County)
152,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Cooke (County)
153,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Fannin (County)
154,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Freestone (County)
155,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Henderson (County)
156,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Harrison (County)
157,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Lamar (County)
158,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Gregg (County)
159,218,TX,DR,Flood,SEVERE STORMS & FLOODING,1966-05-12T04:00:00.000Z,1966-05-12T04:00:00.000Z,1968-06-12T04:00:00.000Z,Leon (County)
